№;Проект;Аббревиатура;Блок;Раздел;Задача;Старт План;Конец План;Старт Факт;Конец Факт;Отклонение;Отклонений в днях;Причина отклонений;Бюджет План;Бюджет Факт;Резерв;РД по Договору;Отклонение разделов РД;Всего загружено;На согласовании;Выдана подрядчику;Выдано в производство работ;На доработке
2;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты сборные;01.11.2024;31.03.2028;01.11.2024;31.03.2028;0;0;Недостаточно трудоресурсов;30000;32000;2000;20;6;16;1;;14;1
3;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Фундаменты монолитные;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Недостаточно трудоресурсов;150000;145000;-5000;20;10;11;1;;10;
4;Есипово V;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Цокольные панели;01.11.2024;25.11.2025;01.11.2024;25.11.2025;0;0;Не передан фронт работ;75000;78000;3000;20;10;11;1;;10;
5;Дмитровский;ККК;Блок 1;КОРОБКА, КРОВЛЯ, СТЕНЫ;Железобетонные колонны;01.11.2024;01.01.2025;01.11.2024;01.01.2025;0;0;Не передан фронт работ;80000;85000;5000;5;3;3;1;;2;
6;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Металлические конструкции;01.11.2024;28.07.2025;01.11.2024;28.07.2025;0;0;Нет оплаты подрядчику;45000;48000;3000;5;2;5;1;;3;1
7;Есипово V;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Профилированный лист;01.11.2024;28.06.2025;01.11.2024;28.06.2025;0;0;Нет оплаты подрядчику;35000;33000;-2000;5;4;2;1;;1;
8;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Ограждающие конструкции;01.11.2024;28.02.2027;01.11.2024;16.06.2027;1;108;Нет оплаты подрядчику;110000;115000;5000;5;2;3;0;;3;
9;Дмитровский;ККК;Блок 2;КОРОБКА, КРОВЛЯ, СТЕНЫ;Кровля;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Нет РД;40000;42000;2000;3;1;3;1;;2;
10;Есипово V;ВЛ;Блок 2;Внутренние лестницы;Внутренние лестницы;01.11.2024;01.11.2024;01.11.2024;01.11.2024;0;0;Нет РД;70000;72000;2000;1;0;2;1;;1;
11;Дмитровский;ВП;Блок 3;Внутренний пандус;Внутренний пандус;01.11.2024;30.11.2024;01.11.2024;30.11.2024;0;0;Нет РД;95000;92000;-3000;10;1;10;1;;9;
12;Дмитровский;ПСВ;Блок 3;ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ;ПОДЪЕМНО-СЕКЦИОННЫЕ ВОРОТА, ДОКИ;01.11.2024;30.11.2024;01.11.2024;17.02.2025;1;79;Ошибки в РД;25000;23000;-2000;5;2;4;1;;3;
